Address,Neighborhood,Bedrooms,Bathrooms,Price,Sqft,Term,Rented,Date,Source,URL
539 Octavia Street #9,Hayes Valley,0,1,1500,180,,TRUE,3/18/2015,Climb SF,http://www.climbsf.com/for-rent/539-octavia-st-9/
539 Octavia Street #11,Hayes Valley,0,1,1600,200,,TRUE,3/30/2015,Climb SF,http://www.climbsf.com/for-rent/539-octavia-st-11/
539 Octavia Street #14,Hayes Valley,0,1,1850,221,,TRUE,5/14/2015,Climb SF,http://www.climbsf.com/for-rent/539-octavia-st-14/
539 Octavia Street #12,Hayes Valley,0,1,1800,240,,TRUE,4/16/2015,Climb SF,http://www.climbsf.com/for-rent/539-octavia-st-12/
539 Octavia Street #13,Hayes Valley,0,1,1995,280,,TRUE,2/1/2015,Climb SF,http://www.climbsf.com/for-rent/539-octavia-st-13/
539 Octavia Street #4,Hayes Valley,0,1,1950,300,,TRUE,2/16/2015,Climb SF,http://www.climbsf.com/for-rent/539-octavia-st-4/
539 Octavia Street #17,Hayes Valley,0,1,2375,322,,TRUE,1/27/2015,Climb SF,http://www.climbsf.com/for-rent/539-octavia-st-17/
451 Kansas Street #436,Potrero Hill,0,1,2700,436,,TRUE,8/12/2014,Climb SF,http://www.climbsf.com/for-rent/451-kansas-st-436/
451 Kansas Street #520,Potrero Hill,0,1,2800,450,,TRUE,5/18/2015,Climb SF,http://www.climbsf.com/for-rent/451-kansas-st-520/
16 Jessie St #407,Downtown,0,1,2000,450,,TRUE,12/20/2011,Climb SF,http://www.climbsf.com/for-rent/16-jessie-st-407/
8 Buchanan Street #214,Hayes Valley,0,1,2975,453,,TRUE,6/15/2015,Climb SF,http://www.climbsf.com/for-rent/1960-market-st-214/
451 Kansas Street #489,Potrero Hill,0,1,2600,453,,TRUE,8/9/2013,Climb SF,http://www.climbsf.com/for-rent/451-kansas-st-489/
240 Lombard Street #435,North Waterfront,0,1,2500,477,,TRUE,5/20/2014,Climb SF,http://www.climbsf.com/for-rent/240-lombard-st-435/
74 New Montgomery Street #309,SOMA,0,1,2850,484,,TRUE,5/27/2015,Climb SF,http://www.climbsf.com/for-rent/74-new-montgomery-st-309/
74 New Montgomery Street #709,Yerba Buena,0,1,3150,489,,TRUE,6/9/2015,Climb SF,http://www.climbsf.com/for-rent/74-new-montgomery-st-709/
45 Bartlett Street #315,Inner Mission,0,1,3000,500,,TRUE,4/9/2015,Climb SF,http://www.climbsf.com/for-rent/45-bartlett-st-315/
555 Fourth Street #912,South Beach,0,1,2950,525,,TRUE,11/11/2014,Climb SF,http://www.climbsf.com/for-rent/555-4th-st-912/
1921 Jefferson Street #302,Marina,1,1,2600,550,,TRUE,10/29/2013,Climb SF,http://www.climbsf.com/for-rent/1921-jefferson-st-302/
250 King Street #553,Mission Bay,0,1,2975,556,,TRUE,5/13/2014,Climb SF,http://www.climbsf.com/for-rent/250-king-st-553/
One Hawthorne Street #16B,SOMA,0,1,3200,558,,TRUE,5/19/2015,Climb SF,http://www.climbsf.com/for-rent/1-hawthorne-st-16b/
6400 Christie Avenue #3406,Emeryville,0,1,1750,565,,TRUE,2/11/2014,Climb SF,http://www.climbsf.com/for-rent/6400-christie-ave-3406/
88 Townsend Street #426,South Beach,0,1,3099,581,,TRUE,11/24/2014,Climb SF,http://www.climbsf.com/for-rent/88-townsend-st-426/
250 King Street #604,Mission Bay,0,1,2975,587,,TRUE,8/13/2014,Climb SF,http://www.climbsf.com/for-rent/250-king-st-604/
997 14th Street,Duboce Triangle,1,1,2700,600,,TRUE,9/16/2013,Climb SF,http://www.climbsf.com/for-rent/997-14th-st/
1804 62nd Street #3,Berkeley,0,1,1700,600,,TRUE,10/28/2014,Climb SF,http://www.climbsf.com/for-rent/1804-62nd-st-3/
1804 62nd Street #6,Berkeley,0,1,1600,600,,TRUE,10/8/2014,Climb SF,http://www.climbsf.com/for-rent/1804-62nd-st-6/
1260 Clay Street #208,Nob Hill,1,1,3600,610,,TRUE,9/24/2014,Climb SF,http://www.climbsf.com/for-rent/1260-clay-st-208/
16 Jessie Street #311,South Financial District,1,1,3100,620,,TRUE,3/26/2013,Climb SF,http://www.climbsf.com/for-rent/16-jessie-st-311/
1411 Creekside Drive #16,Walnut Creek,1,1,1500,624,,TRUE,2/12/2015,Climb SF,http://www.climbsf.com/for-rent/1411-creekside-dr-16/
184 Cook Street,Lone Mountain,1,1,2800,625,,TRUE,11/5/2014,Climb SF,http://www.climbsf.com/for-rent/184-cook-st/
1875 Mission Street #407,Inner Mission,0,1,3200,645,,TRUE,4/16/2015,Climb SF,http://www.climbsf.com/for-rent/1875-mission-st-407/
656 Clayton Street #B,Cole Valley-Parnassus Heights,1,1,2800,650,,TRUE,5/19/2015,Climb SF,http://www.climbsf.com/for-rent/656b-clayton-st/
1160 Mission Street #1212,SOMA,1,1,3700,660,,TRUE,10/14/2014,Climb SF,http://www.climbsf.com/for-rent/1160-mission-st-1212/
1160 Mission Street #1905,SOMA,1,1,3250,664,,TRUE,6/25/2013,Climb SF,http://www.climbsf.com/for-rent/1160-mission-st-1905/
567 Vallejo Street #PH500,North Beach,3,3,12000,664,1 Year,FALSE,7/5/2015,Climb SF,http://www.climbsf.com/for-rent/1160-mission-st-1112/
333 Fremont Street #603,South Beach,1,1,3800,670,,TRUE,5/29/2015,Climb SF,http://www.climbsf.com/for-rent/333-fremont-st-603/
333 Fremont Street #203,South Beach,1,1,3100,670,,TRUE,4/9/2015,Climb SF,http://www.climbsf.com/for-rent/333-fremont-st-203/
325 Berry Street #614,South Beach,1,1,3350,680,,TRUE,9/27/2013,Climb SF,http://www.climbsf.com/for-rent/325-berry-st-614/
333 Fremont Street #412,South Beach,1,1,3400,689,,TRUE,6/11/2015,Climb SF,http://www.climbsf.com/for-rent/333-fremont-st-412/
555 Fourth Street #312,South Beach,1,1,3500,694,,TRUE,5/27/2015,Climb SF,http://www.climbsf.com/for-rent/555-4th-st-312/
555 Fourth Street #928,South Beach,1,1,3500,694,,TRUE,6/21/2014,Climb SF,http://www.climbsf.com/for-rent/555-4th-st-928/
720 York Street #214,Inner Mission,1,1,3500,700,,TRUE,12/2/2014,Climb SF,http://www.climbsf.com/for-rent/720-york-st-214/
1804 62nd Street #1,Berkeley,1,1,1850,700,,TRUE,11/8/2014,Climb SF,http://www.climbsf.com/for-rent/1804-62nd-st-1/
1804 62nd Street #4,Berkeley,1,1,2200,700,,TRUE,10/14/2014,Climb SF,http://www.climbsf.com/for-rent/1804-62nd-st-4/
425 1st Street #3305,Rincon Hill,1,1,3300,705,,TRUE,1/22/2014,Climb SF,http://www.climbsf.com/for-rent/425-1st-street-3305/
333 Fremont Street #802,South Beach,1,1,4275,706,,TRUE,6/15/2015,Climb SF,http://www.climbsf.com/for-rent/333-fremont-st-802/
333 Fremont Street #405,South Beach,1,1,3675,706,,TRUE,5/6/2015,Climb SF,http://www.climbsf.com/for-rent/333-fremont-st-405/
333 1st Street #N305,Rincon Hill,1,1,3900,709,,TRUE,11/11/2014,Climb SF,http://www.climbsf.com/for-rent/333-1st-st-n305/
425 1st Street #2005,Rincon Hill,1,1,3600,710,,TRUE,11/4/2014,Climb SF,http://www.climbsf.com/for-rent/425-1st-st-2005/
1800 Van Ness Avenue #505,Nob Hill,1,1,3650,714,,TRUE,5/8/2015,Climb SF,http://www.climbsf.com/for-rent/1800-van-ness-ave-505/
250 King Street #776,Mission Bay,1,1,3500,714,,TRUE,2/3/2015,Climb SF,http://www.climbsf.com/for-rent/250-king-st-776/
250 King Street #536,Mission Bay,1,1,2975,714,,TRUE,1/7/2014,Climb SF,http://www.climbsf.com/for-rent/250-king-st-536/
50 Lansing Street #209,South Beach,1,1.5,2975,714,,TRUE,5/16/2013,Climb SF,http://www.climbsf.com/for-rent/50-lansing-st-209/
50 Lansing Street #108,South Beach,1,1.5,3700,715,,TRUE,11/24/2014,Climb SF,http://www.climbsf.com/for-rent/50-lansing-st-108/
821 Folsom Street #310,Yerba Buena,1,1,3000,717,,TRUE,10/22/2013,Climb SF,http://www.climbsf.com/for-rent/821-folsom-st-310/
2125 Bryant Street #303,Inner Mission,0,1,3450,730,,TRUE,10/8/2014,Climb SF,http://www.climbsf.com/for-rent/2125-bryant-st-303/
355 Buena Vista Avenue East #305W,Buena Vista,1,1,2700,730,,TRUE,5/21/2013,Climb SF,http://www.climbsf.com/for-rent/355-buena-vista-avenue-east-305w/
200 Brannan Street #314,South Beach,1,1,3500,732,,TRUE,2/5/2014,Climb SF,http://www.climbsf.com/for-rent/200-brannan-st-314/
200 Townsend Street #47,South Beach,1,2,3700,734,,TRUE,10/1/2014,Climb SF,http://www.climbsf.com/for-rent/200-townsend-st-47/
1160 Mission Street #2303,SOMA,1,1,3600,745,,TRUE,4/15/2014,Climb SF,http://www.climbsf.com/for-rent/1160-mission-st-2303/
1523 Brunswig Lane,Emeryville,2,1.5,2500,745,,TRUE,7/30/2013,Climb SF,http://www.climbsf.com/for-rent/1523-brunswig-lane/
198 Dolores Street #6,Mission Dolores,1,1,3400,750,,TRUE,11/24/2014,Climb SF,http://www.climbsf.com/for-rent/198-dolores-st-6/
1201 Pine Street #360,Oakland,0,1,1950,753,,TRUE,3/19/2015,Climb SF,http://www.climbsf.com/for-rent/1201-pine-st-360/
1788 Clay Street #701,Nob Hill,1,1,3900,754,,TRUE,7/15/2014,Climb SF,http://www.climbsf.com/for-rent/1788-clay-st-701/
425 First Street #1308,Rincon Hill,1,1,3700,755,,TRUE,6/2/2015,Climb SF,http://www.climbsf.com/for-rent/425-1st-st-1308/
425 1st Street #1608,Rincon Hill,1,1,3800,755,,TRUE,2/14/2014,Climb SF,http://www.climbsf.com/for-rent/425-1st-st-1608/
306 Eureka Street,Eureka Valley-Dolores Heights,1,1,3250,756,,TRUE,5/20/2014,Climb SF,http://www.climbsf.com/for-rent/306-eureka-st/
501 Beale St. #9E,South Beach,1,1,3750,759,,TRUE,6/15/2015,Climb SF,http://www.climbsf.com/for-rent/501-beale-st-9e/
501 Beale Street #4D,South Beach,1,1,3800,759,,TRUE,1/28/2014,Climb SF,http://www.climbsf.com/for-rent/501-beale-st-4d/
1463 34th Street,Emeryville,2,1.5,2300,760,,TRUE,2/11/2014,Climb SF,http://www.climbsf.com/for-rent/1463-34th-st/
1160 Mission Street #1611,SOMA,1,1,3150,765,,TRUE,9/18/2013,Climb SF,http://www.climbsf.com/for-rent/1160-mission-st-1611/
451 Kansas Street #571,Potrero Hill,1,1,3400,778,,TRUE,12/9/2014,Climb SF,http://www.climbsf.com/for-rent/451-kansas-st-571/
200 Brannan Street #323,South Beach,1,1,3400,783,,TRUE,3/18/2014,Climb SF,http://www.climbsf.com/for-rent/200-brannan-st-323/
301 Mission Street #14D,South Beach,1,1,2950,789,,TRUE,6/20/2014,Climb SF,http://www.climbsf.com/for-rent/301-mission-st-14d/
650 Turk Street #501,Van Ness-Civic Center,1,1,2950,789,,TRUE,1/20/2014,Climb SF,http://www.climbsf.com/for-rent/650-turk-st-501/
One Hawthorne Street #2J,SOMA,0,1,3300,794,,TRUE,7/22/2013,Climb SF,http://www.climbsf.com/for-rent/1-hawthorne-st-2j/
201 Harrison Street #711,South Beach,1,1,2600,795,,TRUE,2/28/2013,Climb SF,http://www.climbsf.com/for-rent/201-harrison-st-711/
One Daniel Burnham Court #314,Van Ness-Civic Center,1,1.25,3180,800,,TRUE,11/24/2014,Climb SF,http://www.climbsf.com/for-rent/1-daniel-burnham-ct-314/
701 Minnesota Street #119,Central Waterfront,1,1,3300,800,,TRUE,2/21/2014,Climb SF,http://www.climbsf.com/for-rent/701-minnesota-st-119/
373 Green Street,North Beach,1,1,3200,800,,TRUE,1/10/2014,Climb SF,http://www.climbsf.com/for-rent/373-green-st/
338 Spear Street #18C,Rincon Hill,1,1,3900,800,,TRUE,10/15/2013,Climb SF,http://www.climbsf.com/for-rent/338-spear-st-18c/
438 West Grand Avenue #429,Oakland,1,1,2900,802,,TRUE,5/4/2015,Climb SF,http://www.climbsf.com/for-rent/438-west-grand-ave-429/
630 Thomas L. Berkley Way #301,Oakland,1,1,2550,803,,TRUE,7/25/2014,Climb SF,http://www.climbsf.com/for-rent/630-thomas-l-berkley-way-301/
301 Main Street #4F,South Beach,1,1,3575,804,,TRUE,9/9/2014,Climb SF,http://www.climbsf.com/for-rent/301-main-st-4f/
301 Main Street #10C,South Beach,1,1,3900,805,,TRUE,2/22/2014,Climb SF,http://www.climbsf.com/for-rent/301-main-st-10c/
1201 Pine Street #257,West Oakland,1,1,2200,815,,TRUE,6/25/2013,Climb SF,http://www.climbsf.com/for-rent/1201-pine-st-257/
1168 Eddy Street #D4,Western Addition,2,1,3600,816,,TRUE,6/4/2015,Climb SF,http://www.climbsf.com/for-rent/1168-eddy-st-d4/
5800 Third Street #1411,Bayview,1,1,3300,817,,TRUE,5/27/2015,Climb SF,http://www.climbsf.com/for-rent/5800-3rd-st-1411/
425 1st Street #907,Rincon Hill,1,1,3200,819,,TRUE,4/8/2013,Climb SF,http://www.climbsf.com/for-rent/425-1st-street-907/
735 Geary Street #303,Downtown San Francisco,1,1,3000,820,,TRUE,1/8/2015,Climb SF,http://www.climbsf.com/for-rent/735-geary-st-303/
74 New Montgomery Street #515,SOMA,1,1,3700,824,,TRUE,12/26/2013,Climb SF,http://www.climbsf.com/for-rent/74-new-montgomery-st-515/
199 New Montgomery Street #208,SOMA,1,1,3300,834,,TRUE,7/5/2013,Climb SF,http://www.climbsf.com/for-rent/199-new-montgomery-st-208/
863 Indiana Street,Central Waterfront,1,1.5,3800,835,,TRUE,8/28/2014,Climb SF,http://www.climbsf.com/for-rent/863-indiana-st/
868 Minnesota Street #313,Central Waterfront,1,1.5,3400,835,,TRUE,8/16/2013,Climb SF,http://www.climbsf.com/for-rent/868-minnesota-st-313/
333 Main Street #4C,South Beach,1,1,3300,842,,TRUE,1/28/2014,Climb SF,http://www.climbsf.com/for-rent/333-main-st-4c/
318 Spear Street #5C,South Beach,1,1,3700,842,,TRUE,11/25/2013,Climb SF,http://www.climbsf.com/for-rent/318-spear-st-5c/
318 Spear Street #5A,South Beach,1,1,3700,850,,TRUE,12/23/2014,Climb SF,http://www.climbsf.com/for-rent/318-spear-st-5a/
325 Berry Street #314,Mission Bay,1,1,3700,853,,TRUE,1/27/2015,Climb SF,http://www.climbsf.com/for-rent/325-berry-st-314/
630 Thomas L. Berkley Way #623,Oakland,1,1,2700,860,,TRUE,2/16/2015,Climb SF,http://www.climbsf.com/for-rent/630-thomas-l-berkley-way-623/
55 Page Street #814,Hayes Valley,1,1,3200,865,,TRUE,12/20/2011,Climb SF,http://www.climbsf.com/for-rent/55-page-street-814/
260 King Street #1013,Mission Bay,1,1,3750,868,1 Year,FALSE,7/5/2015,Climb SF,http://www.climbsf.com/for-rent/260-king-st-1013/
74 New Montgomery #412,Financial District,1,1,3800,870,,TRUE,11/20/2011,Climb SF,http://www.climbsf.com/for-rent/74-new-montgomery-412/
8 Buchanan Street #600,Hayes Valley,2,1,4000,881,,TRUE,5/13/2014,Climb SF,http://www.climbsf.com/for-rent/8-buchanan-st-600/
2030 Third Street #6,Central Waterfront,1,2,3500,882,,TRUE,8/16/2013,Climb SF,http://www.climbsf.com/for-rent/2030-3rd-st-6/
325 Berry Street #506,Mission Bay,1,1,3300,883,,TRUE,12/16/2013,Climb SF,http://www.climbsf.com/for-rent/325-berry-st-506/
1655 North California Boulevard #345,Walnut Creek,1,1.5,2500,886,,TRUE,4/29/2015,Climb SF,http://www.climbsf.com/for-rent/1655-n-california-blvd-345/
1047 Mississippi Street #7,Potrero Hill,1,1.5,3450,890,,TRUE,7/2/2014,Climb SF,http://www.climbsf.com/for-rent/1047-mississippi-st-7/
301 Crescent Court #3107,Candlestick Point,2,2,2850,892,,TRUE,6/17/2014,Climb SF,http://www.climbsf.com/for-rent/301-crescent-ct-3107/
260 King Street #907,Mission Bay,1,1,3650,896,,TRUE,4/28/2014,Climb SF,http://www.climbsf.com/for-rent/260-king-st-907/
2101 Bryant Street #205,Potrero Hill,1,1,3900,900,,TRUE,6/24/2015,Climb SF,http://www.climbsf.com/for-rent/2101-bryant-st-205/
891 York Street,Potrero Hill,2,1,3400,900,,TRUE,6/16/2015,Climb SF,http://www.climbsf.com/for-rent/891-york-st/
271 Paris Street,Excelsior,1,1,2900,900,,TRUE,12/1/2014,Climb SF,http://www.climbsf.com/for-rent/271-paris-st/
435 China Basin Street #118,Mission Bay,1,1,3625,900,,TRUE,11/24/2014,Climb SF,http://www.climbsf.com/for-rent/435-china-basin-st-118/
403 Main Street #416,South Beach,1,1,3500,900,,TRUE,9/26/2013,Climb SF,http://www.climbsf.com/for-rent/403-main-st-416/
45 Bartlett Street #302,Inner Mission,1,1,4100,905,,TRUE,5/18/2015,Climb SF,http://www.climbsf.com/for-rent/45-bartlett-st-302/
45 Bartlett Street #705,Inner Mission,2,2,4500,905,,TRUE,5/7/2015,Climb SF,http://www.climbsf.com/for-rent/45-bartlett-st-705/
45 Bartlett Street #706,Inner Mission,2,2,4500,905,,TRUE,4/9/2015,Climb SF,http://www.climbsf.com/for-rent/45-bartlett-st-706/
6501 San Pablo Avenue #205,Emeryville,1,1.5,2550,910,,TRUE,7/15/2014,Climb SF,http://www.climbsf.com/for-rent/6501-san-pablo-ave-205/
333 Fremont Street #504,South Beach,1,1,3795,940,,TRUE,1/16/2015,Climb SF,http://www.climbsf.com/for-rent/333-fremont-st-504/
388 Townsend Street #4,SOMA,1,2,3700,940,,TRUE,3/25/2014,Climb SF,http://www.climbsf.com/for-rent/388-townsend-st-4/
1325 Indiana Street #308,Potrero Hill,1,2,3500,943,,TRUE,4/15/2014,Climb SF,http://www.climbsf.com/for-rent/1325-indiana-st-308/
1521 Sutter Street #206,Lower Pacific Heights,2,2,4650,952,,TRUE,2/3/2015,Climb SF,http://www.climbsf.com/for-rent/1521-sutter-st-206/
300 Berry Street #510,Mission Bay,2,1,4000,960,,TRUE,3/17/2015,Climb SF,http://www.climbsf.com/for-rent/300-berry-st-510/
49 Zoe Street #4,South Beach,1,1.5,3500,960,,TRUE,12/26/2013,Climb SF,http://www.climbsf.com/for-rent/49-zoe-st-4/
38 Beideman Street,Western Addition,2,1.5,3500,960,,TRUE,7/30/2013,Climb SF,http://www.climbsf.com/for-rent/38-beideman-st/
403 Main Street #410,South Beach,1,1,3500,960,,TRUE,4/12/2013,Climb SF,http://www.climbsf.com/for-rent/403-main-st-410/
1201 Pine Street #124,West Oakland,1,1.5,2200,975,,TRUE,3/19/2015,Climb SF,http://www.climbsf.com/for-rent/1201-pine-st-124/
1299 Bush Street #303,Nob Hill,2,2,4300,978,,TRUE,11/4/2014,Climb SF,http://www.climbsf.com/for-rent/1299-bush-st-303/
1766 Oakdale Avenue,Bayview,2,2,3975,980,1 Year,FALSE,7/5/2015,Climb SF,http://www.climbsf.com/for-rent/420-mission-bay-blvd-n-121/
325 Berry Street #520,Mission Bay,2,2,5600,987,1 Year,FALSE,7/5/2015,Climb SF,http://www.climbsf.com/for-rent/296-francisco-st/
166 Salada Avenue,Pacifica,2,2,2400,993,,TRUE,7/16/2013,Climb SF,http://www.climbsf.com/for-rent/salada-avenue-pacifica/
400 Beale Street #911,South Beach,2,2,3950,995,,TRUE,3/18/2014,Climb SF,http://www.climbsf.com/for-rent/400-beale-st-911/
300 Berry Street #1313,Mission Bay,2,1,4500,999,,TRUE,5/22/2015,Climb SF,http://www.climbsf.com/for-rent/300-berry-st-1313/
4442 Cabrillo Street,Outer Richmond,2,1,3750,1000,,TRUE,5/21/2015,Climb SF,http://www.climbsf.com/for-rent/4442-cabrillo-st/
48 Rausch Street,SOMA,3,2,3500,1000,,TRUE,5/19/2015,Climb SF,http://www.climbsf.com/for-rent/48-rausch-st/
35 Dolores Street #410,Mission Dolores,2,2,6050,1000,,TRUE,2/25/2015,Climb SF,http://www.climbsf.com/for-rent/35-dolores-st-410/
260 King Street #479,Mission Bay,2,2,4250,1000,,TRUE,4/3/2014,Climb SF,http://www.climbsf.com/for-rent/260-king-st-479/
655 Fifth Street #1,SOMA,1,2,3600,1000,,TRUE,3/11/2014,Climb SF,http://www.climbsf.com/for-rent/655-5th-st-1/
400 Beale Street #706,South Beach,2,1,3825,1038,,TRUE,5/20/2014,Climb SF,http://www.climbsf.com/for-rent/400-beale-st-706/
400 Beale Street #406,South Beach,2,1,3500,1038,,TRUE,4/8/2013,Climb SF,http://www.climbsf.com/for-rent/400-beale-st-406/
