"Address","Neighborhood","Bedrooms","Bathrooms","Price","Rented","Date","Source"
"555 Fourth Street #928","South Beach",1,1.0,3500,True,"06/21/2014","Climb SF"
"301 Mission Street #14D ","South Beach",1,1.0,2950,True,"06/20/2014","Climb SF"
"425 First Street #3807","South Beach",1,1.0,4200,True,"06/20/2014","Climb SF"
"2 Mint Plaza #203","SOMA",0,1.0,2775,True,"06/20/2014","Climb SF"
"425 1st Street #4404","Rincon Hill",1,1.0,3750,True,"06/17/2014","Climb SF"
"301 Crescent Court #3107","Candlestick Point",2,2.0,2850,True,"06/17/2014","Climb SF"
"1661 18th Street","Potrero Hill",2,2.0,4400,True,"06/17/2014","Climb SF"
"338 Spear Street #35C","South Beach",3,3.0,7800,True,"06/12/2014","Climb SF"
"229 Brannan Street #17C","South Beach",2,2.0,5900,True,"06/11/2014","Climb SF"
"101 Marina Boulevard","Marina",3,3.5,9800,True,"06/11/2014","Climb SF"
"330 Mississippi Street","Potrero Hill",3,2.0,5900,True,"06/04/2014","Climb SF"
"767 Bryant Street #403","SOMA",2,2.0,5800,True,"06/02/2014","Climb SF"
"501 Crescent Way #5107","Candlestick Point",2,2.0,2800,True,"06/02/2014","Climb SF"
"400 Beale Street #706","South Beach",2,1.0,3825,True,"05/20/2014","Climb SF"
"306 Eureka Street","Eureka Valley-Dolores Heights",1,1.0,3250,True,"05/20/2014","Climb SF"
"240 Lombard Street #435","North Waterfront",0,1.0,2500,True,"05/20/2014","Climb SF"
"8 Buchanan Street #600","Hayes Valley",2,1.0,4000,True,"05/13/2014","Climb SF"
"250 King Street #553","Mission Bay",0,1.0,2975,True,"05/13/2014","Climb SF"
"400 Beale Street #1312","South Beach",2,2.0,3975,True,"05/12/2014","Climb SF"
"1328 Mission Street #5","SOMA",1,1.5,3600,True,"05/06/2014","Climb SF"
"260 King Street #907","Mission Bay",1,1.0,3650,True,"04/28/2014","Climb SF"
"155 Wood Street #155","Lone Mountain",3,2.0,4200,True,"04/25/2014","Climb SF"
"301 Main Street #14F","South Beach",2,2.0,5950,True,"04/22/2014","Climb SF"
"74 New Montgomery Street #416","Yerba Buena",2,2.0,4500,True,"04/22/2014","Climb SF"
"1160 Mission Street #2303","SOMA",1,1.0,3600,True,"04/15/2014","Climb SF"
"1325 Indiana Street #308","Potrero Hill",1,2.0,3500,True,"04/15/2014","Climb SF"
"301 Main Street #4G","South Beach",2,2.0,4800,True,"04/09/2014","Climb SF"
"814 Hayes Street #2","Hayes Valley",3,2.5,5000,True,"04/09/2014","Climb SF"
"301 Main Street #3B","South Beach",2,2.0,5975,True,"04/09/2014","Climb SF"
"225 Grandview Avenue","Noe Valley",3,2.0,9500,True,"04/09/2014","Climb SF"
"One Hawthorne Street #2H","SOMA",2,2.0,5400,True,"04/04/2014","Climb SF"
"260 King Street #479","Mission Bay",2,2.0,4250,True,"04/03/2014","Climb SF"
"50 Lansing St. #406","Rincon Hill",2,2.0,4200,True,"04/01/2014","Climb SF"
"325 Berry Street #502","Mission Bay",2,2.0,5900,True,"03/25/2014","Climb SF"
"388 Townsend Street #4","SOMA",1,2.0,3700,True,"03/25/2014","Climb SF"
"88 King Street #106","South Beach",2,2.0,4750,True,"03/25/2014","Climb SF"
"200 Brannan Street #323","South Beach",1,1.0,3400,True,"03/18/2014","Climb SF"
"400 Beale Street #911","South Beach",2,2.0,3950,True,"03/18/2014","Climb SF"
"655 Fifth Street #1","SOMA",1,2.0,3600,True,"03/11/2014","Climb SF"
"301 Main Street #23F","South Beach",2,2.0,5500,True,"03/11/2014","Climb SF"
"300 Ivy Street #403","Hayes Valley",1,1.0,3500,True,"03/10/2014","Climb SF"
"1837 Jefferson Street ","Marina",2,2.5,6200,True,"03/04/2014","Climb SF"
"1536 Pacific Avenue #5","Nob Hill",2,2.0,6000,True,"02/27/2014","Climb SF"
"435 China Basin Street #441","Mission Bay",2,2.0,4900,True,"02/25/2014","Climb SF"
"301 Main Street #10C","South Beach",1,1.0,3900,True,"02/22/2014","Climb SF"
"701 Minnesota Street #119","Central Waterfront",1,1.0,3300,True,"02/21/2014","Climb SF"
"435 China Basin Street #634","Mission Bay",2,2.0,5475,True,"02/18/2014","Climb SF"
"1600 Webster Street #308","Lower Pacific Heights",1,1.0,3200,True,"02/18/2014","Climb SF"
"300 Ivy Street #503","Hayes Valley",1,1.0,3500,True,"02/18/2014","Climb SF"
"425 1st Street #1608","Rincon Hill",1,1.0,3800,True,"02/14/2014","Climb SF"
"301 Main Street #25E","South Beach",2,2.0,5800,True,"02/12/2014","Climb SF"
"200 Brannan Street #314","South Beach",1,1.0,3500,True,"02/05/2014","Climb SF"
"403 Main Street #515","South Beach",2,2.0,4150,True,"02/03/2014","Climb SF"
"374 27th Avenue","Central Richmond",2,1.5,3900,True,"01/29/2014","Climb SF"
"1160 Mission Street #901","SOMA",2,2.0,4450,True,"01/28/2014","Climb SF"
"501 Beale Street #4D","South Beach",1,1.0,3800,True,"01/28/2014","Climb SF"
"333 Main Street #4C","South Beach",1,1.0,3300,True,"01/28/2014","Climb SF"
"425 1st Street #3305","Rincon Hill",1,1.0,3300,True,"01/22/2014","Climb SF"
"650 Turk Street #501","Van Ness-Civic Center",1,1.0,2950,True,"01/20/2014","Climb SF"
"301 Main Street #35F","South Beach",2,2.0,6500,True,"01/14/2014","Climb SF"
"970 Duncan Street #304F","Diamond Heights",2,2.0,3300,True,"01/13/2014","Climb SF"
"373 Green Street","North Beach",1,1.0,3200,True,"01/10/2014","Climb SF"
"250 King Street #536","Mission Bay",1,1.0,2975,True,"01/07/2014","Climb SF"
"66 Cleary Court #306","Western Addition",3,2.0,4400,True,"12/31/2013","Climb SF"
"74 New Montgomery Street #515","SOMA",1,1.0,3700,True,"12/26/2013","Climb SF"
"49 Zoe Street #4","South Beach",1,1.5,3500,True,"12/26/2013","Climb SF"
"657 26th Avenue","Central Richmond",2,1.5,3700,True,"12/26/2013","Climb SF"
"425 1st Street #4501","Rincon Hill",1,1.0,4000,True,"12/18/2013","Climb SF"
"2125 Bryant Street #102","Inner Mission",2,2.5,5300,True,"12/17/2013","Climb SF"
"425 1st Street #3704","Rincon Hill",1,1.0,3300,True,"12/16/2013","Climb SF"
"325 Berry Street #506","Mission Bay",1,1.0,3300,True,"12/16/2013","Climb SF"
"425 1st Street #3503","Rincon Hill",2,2.0,5500,True,"12/12/2013","Climb SF"
"301 Mission Street #701","SOMA",2,2.0,7400,True,"12/11/2013","Climb SF"
"501 Beale Street #8D","South Beach",2,2.0,5600,True,"11/26/2013","Climb SF"
"318 Spear Street #5C","South Beach",1,1.0,3700,True,"11/25/2013","Climb SF"
"18 Lansing Street #201","Rincon Hill",2,2.0,3700,True,"11/25/2013","Climb SF"
"555 4th Street #417","South Beach",2,2.0,4000,True,"11/19/2013","Climb SF"
"1921 Jefferson Street #302","Marina",1,1.0,2600,True,"10/29/2013","Climb SF"
"723 Ellsworth Street","Bernal Heights",3,2.0,3450,True,"10/22/2013","Climb SF"
"900 Bush Street #410","Nob Hill",0,1.0,2100,True,"10/22/2013","Climb SF"
"821 Folsom Street #310","Yerba Buena",1,1.0,3000,True,"10/22/2013","Climb SF"
"338 Spear Street #18C","Rincon Hill",1,1.0,3900,True,"10/15/2013","Climb SF"
"219 Brannan Street #7E","South Beach",2,2.0,5200,True,"10/15/2013","Climb SF"
"301 Main Street #6B","South Beach",2,2.5,6600,True,"10/01/2013","Climb SF"
"325 Berry Street #614","South Beach",1,1.0,3350,True,"09/27/2013","Climb SF"
"403 Main Street #416","South Beach",1,1.0,3500,True,"09/26/2013","Climb SF"
"1160 Mission Street #1611","SOMA",1,1.0,3150,True,"09/18/2013","Climb SF"
"325 Berry Street #701 ","Mission Bay",2,2.0,6500,True,"09/18/2013","Climb SF"
"997 14th Street","Duboce Triangle",1,1.0,2700,True,"09/16/2013","Climb SF"
"555 Bartlett Street #413","Inner Mission",2,2.0,4050,True,"09/10/2013","Climb SF"
"229 Brannan Street #12J","South Beach",2,2.0,5950,True,"08/29/2013","Climb SF"
"333 Main Street #7B","South Beach",2,2.0,4475,True,"08/23/2013","Climb SF"
"2030 Third Street #6","Central Waterfront",1,2.0,3500,True,"08/16/2013","Climb SF"
"868 Minnesota Street #313","Central Waterfront",1,1.5,3400,True,"08/16/2013","Climb SF"
"451 Kansas Street #489","Potrero Hill",0,1.0,2600,True,"08/09/2013","Climb SF"
"3156 Turk Street #A","Lone Mountain",4,2.0,5000,True,"08/09/2013","Climb SF"
"333 Main Street #9D","South Beach",4,2.0,5500,True,"08/01/2013","Climb SF"
"338 Spear Street #39A","South Beach",2,2.0,6700,True,"08/01/2013","Climb SF"
"755 Tennessee Street #2","Dogpatch",2,2.0,4450,True,"07/30/2013","Climb SF"
"1288 McAllister Street #201","Alamo Square",2,1.0,4000,True,"07/30/2013","Climb SF"
"38 Beideman Street","Western Addition",2,1.5,3500,True,"07/30/2013","Climb SF"
"325 Berry Street #317","Mission Bay",1,1.0,3650,True,"07/22/2013","Climb SF"
"One Hawthorne Street #2J","SOMA",0,1.0,3300,True,"07/22/2013","Climb SF"
"2075 Sutter Street #521","Lower Pacific Heights",2,2.0,4100,True,"07/16/2013","Climb SF"
"480 Mission Bay Boulevard North #1608","Mission Bay",2,2.0,5475,True,"07/15/2013","Climb SF"
"3009 Sacramento Street #2","Pacific Heights",4,2.0,5500,True,"07/09/2013","Climb SF"
"88 King Street #904","South Beach",2,2.0,6250,True,"07/09/2013","Climb SF"
"199 New Montgomery Street #208","SOMA",1,1.0,3300,True,"07/05/2013","Climb SF"
"140 South Van Ness Avenue #922","SOMA",2,2.0,3800,True,"07/03/2013","Climb SF"
"1160 Mission Street #1905","SOMA",1,1.0,3250,True,"06/25/2013","Climb SF"
"333 Main Street #4L","South Beach",1,1.0,3500,True,"06/05/2013","Climb SF"
"400 Beale Street #506","South Beach",2,1.0,3700,True,"06/05/2013","Climb SF"
"300 Third Street #1114","SOMA",2,2.0,4100,True,"06/05/2013","Climb SF"
"4517 18th Street","Eureka Valley",3,3.0,5800,True,"06/04/2013","Climb SF"
"1097 Howard Street #304","SOMA",1,1.5,3700,True,"06/04/2013","Climb SF"
"333 Main Street #7E","South Beach",2,2.0,4900,True,"05/31/2013","Climb SF"
"355 Buena Vista Avenue East #305W","Buena Vista",1,1.0,2700,True,"05/21/2013","Climb SF"
"50 Lansing Street #209","South Beach",1,1.5,2975,True,"05/16/2013","Climb SF"
"333 Main Street #4D","South Beach",1,1.0,3500,True,"04/24/2013","Climb SF"
"403 Main Street #410","South Beach",1,1.0,3500,True,"04/12/2013","Climb SF"
"5 Sparta Street","Visitacion Valley",3,2.5,3450,True,"04/10/2013","Climb SF"
"425 1st Street #907","Rincon Hill",1,1.0,3200,True,"04/08/2013","Climb SF"
"400 Beale Street #406","South Beach",2,1.0,3500,True,"04/08/2013","Climb SF"
"999 16th Street #15","Potrero Hill",1,1.5,3900,True,"03/26/2013","Climb SF"
"16 Jessie Street #311","South Financial District",1,1.0,3100,True,"03/26/2013","Climb SF"
"2712A Pine Street ","Lower Pacific Heights",2,1.5,3700,True,"03/20/2013","Climb SF"
"682 28th Street","Noe Valley",2,2.0,4500,True,"03/19/2013","Climb SF"
"338 Spear Street #18B","South Beach",2,2.0,5700,True,"03/04/2013","Climb SF"
"235 Berry Street #107","Mission Bay",3,3.0,7500,True,"03/04/2013","Climb SF"
"1703 Powell Street","North Beach",4,2.0,6200,True,"02/28/2013","Climb SF"
"201 Harrison Street #711","South Beach",1,1.0,2600,True,"02/28/2013","Climb SF"
"1979 Clay Street","Pacific Heights",3,2.0,5250,True,"02/26/2013","Climb SF"
"1340 Clay Street #402","Nob Hill",2,2.0,5975,True,"02/20/2013","Climb SF"
"235 Berry Street #102","Mission Bay",2,2.5,4300,True,"01/28/2012","Climb SF"
"55 Page Street #814","Hayes Valley",1,1.0,3200,True,"12/20/2011","Climb SF"
"16 Jessie St #407","Downtown",0,1.0,2000,True,"12/20/2011","Climb SF"
"555 4th St # 803","South Beach",2,2.0,3500,True,"12/06/2011","Climb SF"
"260 King St ","Mission Bay/SoMa",1,1.0,3500,True,"11/28/2011","Climb SF"
"74 New Montgomery #412","Financial District",1,1.0,3800,True,"11/20/2011","Climb SF"
"407 Palisade Drive","Oakland",3,3.5,4250,True,"07/02/2015","Climb SF"
"370 Santa Clara Avenue #6","Oakland",2,1.0,2950,True,"06/24/2015","Climb SF"
"675 Eighth Street #1","Oakland",2,2.5,3500,True,"05/04/2015","Climb SF"
"438 West Grand Avenue #429","Oakland",1,1.0,2900,True,"05/04/2015","Climb SF"
"1655 North California Boulevard #345","Walnut Creek",1,1.5,2500,True,"04/29/2015","Climb SF"
"1201 Pine Street #141","Oakland",1,1.5,2500,True,"04/16/2015","Climb SF"
"8048 Earl Street","Oakland",0,1.0,1450,True,"03/29/2015","Climb SF"
"1201 Pine Street #124","West Oakland",1,1.5,2200,True,"03/19/2015","Climb SF"
"1201 Pine Street #360","Oakland",0,1.0,1950,True,"03/19/2015","Climb SF"
"1500 Park Avenue #111","Emeryville",1,1.0,2850,True,"02/19/2015","Climb SF"
"630 Thomas L. Berkley Way #623","Oakland",1,1.0,2700,True,"02/16/2015","Climb SF"
"1411 Creekside Drive #16","Walnut Creek",1,1.0,1500,True,"02/12/2015","Climb SF"
"311 Oak Street #306","Oakland",2,2.0,3400,True,"12/31/2014","Climb SF"
"1804 62nd Street #1","Berkeley",1,1.0,1850,True,"11/08/2014","Climb SF"
"1804 62nd Street #3","Berkeley",0,1.0,1700,True,"10/28/2014","Climb SF"
"1804 62nd Street #4","Berkeley",1,1.0,2200,True,"10/14/2014","Climb SF"
"1804 62nd Street #6","Berkeley",0,1.0,1600,True,"10/08/2014","Climb SF"
"1026 Aileen Street","Emeryville",3,2.0,3450,True,"09/04/2014","Climb SF"
"630 Thomas L. Berkley Way #301","Oakland",1,1.0,2550,True,"07/25/2014","Climb SF"
"6501 San Pablo Avenue #205","Emeryville",1,1.5,2550,True,"07/15/2014","Climb SF"
"4234 Halleck Street","Emeryville",1,1.5,2600,True,"06/11/2014","Climb SF"
"372 Hudson Street","Oakland",2,1.0,3700,True,"05/06/2014","Climb SF"
"1511 Jefferson Street #203","Downtown Oakland",2,2.0,2300,True,"03/04/2014","Climb SF"
"6400 Christie Avenue #3406","Emeryville",0,1.0,1750,True,"02/11/2014","Climb SF"
"1463 34th Street","Emeryville",2,1.5,2300,True,"02/11/2014","Climb SF"
"1511 Jefferson Street #PH8","Oakland",1,1.0,1900,True,"02/10/2014","Climb SF"
"1201 Pine Street #132","Oakland",1,1.5,1950,True,"01/28/2014","Climb SF"
"1523 Brunswig Lane","Emeryville",2,1.5,2500,True,"07/30/2013","Climb SF"
"1201 Pine Street #257","West Oakland",1,1.0,2200,True,"06/25/2013","Climb SF"
"1500 Park Avenue #105","Emeryville",1,1.0,2300,True,"05/20/2013","Climb SF"
"166 Salada Avenue","Pacifica",2,2.0,2400,True,"07/16/2013","Climb SF"
